State/UT,District,Pincode,Tehsil/Block
Telangana,Karim Nagar,505531,Pegadapalli
Telangana,Karim Nagar,505466,Husnabad
Telangana,Karim Nagar,505527,Thimmapur
Telangana,Karim Nagar,505460,Raikal
Telangana,Karim Nagar,505526,Na
Telangana,Karim Nagar,505306,Kathalapur
Telangana,Karim Nagar,505450,Ibrahimpatnam
Telangana,Karim Nagar,505402,Ellanthakunta
Telangana,Karim Nagar,505524,Boenpalli
Telangana,Karim Nagar,505469,Manakondur
Telangana,Karim Nagar,505302,Vemulawada
Telangana,Karim Nagar,505455,Jagtial
Telangana,Karim Nagar,505001,Na
Telangana,Karim Nagar,505452,Pegadapalli
Telangana,Karim Nagar,505415,Choppadandi
Telangana,Karim Nagar,505529,Sarangapur
Telangana,Karim Nagar,505401,Karimnagar
Telangana,Karim Nagar,505325,Metpalli
Telangana,Karim Nagar,505405,Sirsilla
Telangana,Karim Nagar,505403,Vemulawada
Telangana,Karim Nagar,505452,Mallial
Telangana,Karim Nagar,505303,Kishandaspet
Telangana,Karim Nagar,505404,Mustabad
Telangana,Karim Nagar,505403,Chandurthi
Telangana,Karim Nagar,505405,Na
Telangana,Karim Nagar,505473,Koheda
Telangana,Karim Nagar,505532,Pegadapalli
Telangana,Karim Nagar,505403,Konaraopet
Telangana,Karim Nagar,505454,Na
Telangana,Karim Nagar,505528,Bejjanki
Telangana,Karim Nagar,505453,Medpalli
Telangana,Karim Nagar,505462,Kathalapur
Telangana,Karim Nagar,505001,Karimnagar
Telangana,Karim Nagar,505301,Sirsilla
Telangana,Karim Nagar,505454,Dharmapuri
Telangana,Karim Nagar,505415,Karimnagar
Telangana,Karim Nagar,505473,Bejjanki
Telangana,Karim Nagar,505402,Sirsilla
Telangana,Karim Nagar,505501,Kodimial
Telangana,Karim Nagar,505467,Chigurumamidi
Telangana,Karim Nagar,505453,Koratla
Telangana,Karim Nagar,505331,Mallapur
Telangana,Karim Nagar,505405,Ellanthakunta
Telangana,Karim Nagar,505528,Ellanthakunta
Telangana,Karim Nagar,505304,Gambhiraopet
Telangana,Karim Nagar,505306,Medpalli
Telangana,Karim Nagar,505451,Ramadugu
Telangana,Karim Nagar,505425,Dharmapuri
Telangana,Karim Nagar,505301,Konaraopet
Telangana,Karim Nagar,505462,Koratla
Telangana,Karim Nagar,505526,Velgatur
Telangana,Karim Nagar,505524,Vemulawada
Telangana,Karim Nagar,505305,Gambhiraopet
Telangana,Karim Nagar,505530,Ellanthakunta
Telangana,Karim Nagar,505301,Sircilla
Telangana,Karim Nagar,505455,Na
Telangana,Karim Nagar,505530,Bejjanki
Telangana,Karim Nagar,505531,Ramadugu
Telangana,Karim Nagar,505467,Husnabad
Telangana,Karim Nagar,505325,Ibrahimpatnam
Telangana,Karim Nagar,505531,Choppadandi
Telangana,Karim Nagar,505454,Jagtial
Telangana,Karim Nagar,505529,Gollapalli
Telangana,Karim Nagar,505481,Chigurumamidi
Telangana,Karim Nagar,505327,Jagtial
Telangana,Karim Nagar,505460,Koratla
Telangana,Karim Nagar,505307,Chandurthi
Telangana,Karim Nagar,505467,Koheda
Telangana,Karim Nagar,505401,Ellanthakunta
Telangana,Karim Nagar,505453,Medapalli
Telangana,Karim Nagar,505303,Yellareddypet
Telangana,Karim Nagar,505303,Mustabad
Telangana,Karim Nagar,505326,Koratla
Telangana,Karim Nagar,505481,Thimmapur
Telangana,Karim Nagar,505451,Karimnagar
Telangana,Karim Nagar,505529,Jagtial
Telangana,Karim Nagar,505527,Na
Telangana,Karim Nagar,505529,Na
Telangana,Karim Nagar,505401,Boenpalli
Telangana,Karim Nagar,505469,Thimmapur
Telangana,Karim Nagar,505307,Nizamabad Division
Telangana,Karim Nagar,505462,Medpalli
Telangana,Karim Nagar,505403,Chendurthy
Telangana,Karim Nagar,505325,Metpalle
Telangana,Karim Nagar,505481,Na
Telangana,Karim Nagar,505524,Boenpali
Telangana,Karim Nagar,505530,Thimmapur
Telangana,Karim Nagar,505325,Koratal
Telangana,Karim Nagar,505415,Jullapalli
Telangana,Karim Nagar,505401,Ellanthkunta
Telangana,Karim Nagar,505305,Yellareddypet
Telangana,Karim Nagar,505528,Koheda
Telangana,Karim Nagar,505467,Hunsabad
Telangana,Karim Nagar,505307,Chendurthi
Telangana,Karim Nagar,505402,Vemulawada
Telangana,Karim Nagar,505531,Gangadhara
Telangana,Karim Nagar,505454,Sarangapur
Telangana,Karim Nagar,505526,Dharmaram
Telangana,Karim Nagar,505302,Boenpalli
Telangana,Karim Nagar,505302,Konaraopet
Telangana,Karim Nagar,505402,Boenpalli
Telangana,Karim Nagar,505530,Na
Telangana,Karim Nagar,505331,Metpalli
Telangana,Karim Nagar,505301,Yellareddipet
Telangana,Karim Nagar,505415,Pegadapalli
Telangana,Mahabub Nagar,509210,Na
Telangana,Mahabub Nagar,509382,Na
Telangana,Mahabub Nagar,509002,Na
Telangana,Mahabub Nagar,509352,Na
Telangana,Mahabub Nagar,509152,Na
Telangana,Mahabub Nagar,509132,Na
Null,Null,509133,Na
Telangana,Mahabub Nagar,509130,Na
Telangana,Mahabub Nagar,509340,Na
Telangana,Mahabub Nagar,509336,Na
Telangana,Mahabub Nagar,509371,Na
Telangana,Mahabub Nagar,509407,Na
Telangana,Mahabub Nagar,509335,Na
Telangana,Mahabub Nagar,509208,Na
Telangana,Mahabub Nagar,509131,Na
Telangana,Mahabub Nagar,509338,Na
Telangana,Mahabub Nagar,509409,Na
Telangana,Mahabub Nagar,509204,Na
Telangana,Mahabub Nagar,509339,Na
Telangana,Mahabub Nagar,509411,Na
Telangana,Mahabub Nagar,509353,Na
Telangana,Mahabub Nagar,509205,Na
Telangana,Mahabub Nagar,509127,Na
Telangana,Mahabub Nagar,509128,Na
Telangana,Mahabub Nagar,509129,Na
Telangana,Mahabub Nagar,509334,Na
Telangana,Mahabub Nagar,509126,Na
Telangana,Mahabub Nagar,509135,Na
Telangana,Mahabub Nagar,509311,Na
Telangana,Mahabub Nagar,509350,Na
Telangana,K.V.Rangareddy,509339,Na
Telangana,Mahabub Nagar,509351,Na
Telangana,Mahabub Nagar,509125,Gadwal
Telangana,Mahabub Nagar,509337,Na
Telangana,Mahabub Nagar,509380,Na
Telangana,Mahabub Nagar,509219,Na
Telangana,Mahabub Nagar,509001,Mahbubnagar
Telangana,Mahabub Nagar,509002,Mahbubnagar
Telangana,Mahabub Nagar,509153,Na
Telangana,Mahabub Nagar,509338,Kodangal
Telangana,Mahabub Nagar,509219,Devarkadra
Null,Null,509133,Gadwal
Telangana,Mahabub Nagar,509001,Mahabubnagar H.O
Telangana,K.V.Rangareddy,509335,Na
Telangana,Mahabub Nagar,509210,Narayanpet
Telangana,K.V.Rangareddy,509371,Na
Null,Null,509133,Dharur
Telangana,Mahabub Nagar,509126,Mahabub Nagar
Telangana,Medak,502278,Na
Telangana,Medak,502108,Dubbak
Telangana,Medak,502115,Na
Telangana,Medak,502311,Na
Telangana,Medak,502280,Na
Telangana,Medak,502281,Na
Telangana,Medak,502310,Na
Telangana,Medak,502247,Na
Telangana,Medak,502103,Siddipet
Telangana,Medak,502109,Na
Telangana,Medak,502278,Gujvail
Telangana,Medak,502267,Na
Telangana,Medak,502277,Na
Telangana,Medak,502114,Na
Telangana,Medak,502302,Na
Telangana,Medak,502113,Na
Telangana,Medak,502375,Na
Telangana,Medak,502117,Medak
Telangana,Medak,502334,Na
Telangana,Medak,502279,Na
Telangana,Medak,502102,Na
Telangana,Medak,502117,Na
Telangana,Medak,502381,Na
Telangana,Medak,502255,Na
Telangana,Medak,502276,Na
Telangana,Medak,502301,Na
Telangana,Medak,502108,Na
Telangana,Medak,502107,Na
Telangana,Medak,502130,Na
Telangana,Medak,502248,Na
Telangana,Medak,502335,Na
Telangana,Medak,502113,Medak
Telangana,Medak,502281,Gujvail
Telangana,Medak,502336,Na
Telangana,Medak,502312,Na
Telangana,Medak,502372,Na
Telangana,Medak,502331,Na
Telangana,Medak,502331,Medak
Telangana,Medak,502130,Medak
Telangana,Medak,502125,Na
Telangana,Medak,502303,Na
Telangana,Medak,502109,Medak
Telangana,Medak,502110,Medak
Telangana,Medak,502303,Papannapet
Telangana,Medak,502101,Na
Telangana,Nalgonda,508277,Nalgodna
Telangana,Nalgonda,508114,Nalgonda
Telangana,Nalgonda,508254,Nalgonda
Telangana,Nalgonda,508101,Alair
Telangana,Nalgonda,508377,Nalgonda
Telangana,Nalgonda,508277,Nalgonda
Telangana,Nalgonda,508285,Nalgonda
Telangana,Nalgonda,508101,Nalgonda
Telangana,Nalgonda,508117,Nalgonda
Telangana,Nalgonda,508255,Chandur
Telangana,Nalgonda,508245,Nalgonda
Telangana,Nalgonda,508002,Na
Telangana,Nalgonda,508112,Nalgonda
Telangana,Nalgonda,508111,Nalgonda
Telangana,Nalgonda,508243,Nalgonda
Telangana,Nalgonda,508105,Nalgonda
Telangana,Nalgonda,508126,Bibinagar
Telangana,Nalgonda,508117,Bhongir
Telangana,Nalgonda,508116,Bhongiri
Telangana,Nalgonda,508126,Bhongir
Telangana,Nalgonda,508244,Munugode
Telangana,Nalgonda,508113,Nalgodna
Telangana,Nalgonda,508258,Nalgonda
Telangana,Nalgonda,508285,Cc
Telangana,Nalgonda,508126,Nalgolnda
Telangana,Nalgonda,508001,Nalgonda
Telangana,Nalgonda,508202,Nalgonda
Telangana,Nalgonda,508256,Nalgonda
Telangana,Nalgonda,508286,Nalgonda
Telangana,Nalgonda,508286,Na
Telangana,Nalgonda,508253,Nalgonda
Telangana,Nalgonda,508004,Nalgonda
Telangana,Nalgonda,508244,Nalgonda
Telangana,Nalgonda,508257,Nalgonda
Telangana,Nalgonda,508252,Nalgonda
Telangana,Nalgonda,508243,Pedda Adiserla Palle
Telangana,Nalgonda,508250,Nalgonda
Telangana,Nalgonda,508248,Nalgonda
Telangana,Nalgonda,508286,Vv
Telangana,Nalgonda,508115,Na
Telangana,Nalgonda,508115,Yadagarigutta
Telangana,Nalgonda,508248,Devarakonda
Telangana,Nalgonda,508113,Na
Telangana,Nalgonda,508105,Na
Telangana,Nalgonda,508255,Nalgonda
Telangana,Nalgonda,508257,Pedda Adiserla Palle
Telangana,Nalgonda,508115,Nalgonda
Telangana,Nalgonda,508373,Nalgonda
Telangana,Nalgonda,508253,Narayanapur
Telangana,Nalgonda,508112,Na
Telangana,Nalgonda,508244,Nalognda
Telangana,Nalgonda,508126,Nalgonda
Telangana,Nalgonda,508377,Anumula
Telangana,Nalgonda,508117,Cc
Telangana,Nalgonda,508202,Anumula
Telangana,Nalgonda,508286,Cc
Telangana,Nalgonda,508284,Nalgonda
Telangana,Nalgonda,508244,Na
Telangana,Nalgonda,508252,Choutuppal
Telangana,Nalgonda,508245,Marriguda
Telangana,Nalgonda,508285,Na
Telangana,Nalgonda,508266,Nalgonda
Telangana,Nalgonda,508112,Cc
Telangana,Nalgonda,508277,Mothkur
Telangana,Nalgonda,508112,Bb
Telangana,Nalgonda,508285,Nalgoda
Telangana,Nalgonda,508113,Nalgonda
Telangana,Nalgonda,508002,Nalgonda
Telangana,Nalgonda,508112,Cxc
Telangana,Nalgonda,508252,Na
Telangana,Nalgonda,508256,Peddavoora
Telangana,Nalgonda,508284,Pochampalle
Telangana,Nalgonda,508117,Nalgnda
Telangana,Nalgonda,508105,Bhongir
Telangana,Nalgonda,508277,Na
Telangana,Nalgonda,508113,Ramannapeta So
Telangana,Nalgonda,508113,Cc
Telangana,Nalgonda,508285,Bhongir
Telangana,Nalgonda,508115,Bhongir
Telangana,Nalgonda,508112,Valigonda
Telangana,Nalgonda,508286,Bhongir
Telangana,Nalgonda,508117,Na
Telangana,Nalgonda,508115,Yadagirigutta
Telangana,Nizamabad,503245,Nizamabad
Telangana,Nizamabad,503302,Kamareddy
Telangana,Nizamabad,503122,Yellareddy
Telangana,Nizamabad,503145,Kamareddy
Telangana,Nizamabad,503112,Kamareddy
Telangana,Nizamabad,503246,Nizamabad
Telangana,Nizamabad,503311,Armoor
Telangana,Nizamabad,503223,Nizamabad
Telangana,Nizamabad,503235,Nizamabad
Telangana,Nizamabad,503123,Kamareddy
Telangana,Nizamabad,503180,Nizamabad
Telangana,Nizamabad,503003,Nizamabad
Telangana,Nizamabad,503188,Nizamabad
Telangana,Nizamabad,503186,Nizamabad
Telangana,Nizamabad,503213,Na
Telangana,Nizamabad,503223,Armoor
Telangana,Nizamabad,503301,Nizamabad
Telangana,Nizamabad,503144,Kamareddy
Telangana,Nizamabad,503310,Kamareddy
Telangana,Nizamabad,503164,Na
Telangana,Nizamabad,503102,Kamareddy
Telangana,Nizamabad,503174,Armoor
Telangana,Nizamabad,503110,Kamareddy
Telangana,Nizamabad,503224,Nizamabad
Telangana,Nizamabad,503246,Na
Telangana,Nizamabad,503307,Armoor
Telangana,Nizamabad,503212,Armoor
Telangana,Nizamabad,503230,Nizamabad
Telangana,Nizamabad,503217,Armoor
Telangana,Nizamabad,503187,Banswada
Telangana,Nizamabad,503321,Nizamabad
Telangana,Nizamabad,503225,Armoor
Telangana,Nizamabad,503101,Kamareddy
Telangana,Nizamabad,503305,Nizamabad
Telangana,Nizamabad,503101,Bhiknoor
Telangana,Nizamabad,503307,Bheemgal
Telangana,Nizamabad,503125,Kamareddy
Telangana,Nizamabad,503306,Kamareddy
Telangana,Nizamabad,503185,Bodhan
Telangana,Nizamabad,503218,Armoor
Telangana,Nizamabad,503180,Na
Telangana,Nizamabad,503175,Armoor
Telangana,Nizamabad,503165,Armoor
Telangana,Nizamabad,503164,Dichpalle
Telangana,Nizamabad,503206,Nizamabad
Telangana,Nizamabad,503108,Kamareddy
Telangana,Nizamabad,503308,Armoor
Telangana,Nizamabad,503165,Dharpalle
Telangana,Nizamabad,503213,Nizamabad
Telangana,Nizamabad,503120,Kamareddy
Telangana,Nizamabad,503175,Dichpalle
Telangana,Nizamabad,503207,Nizamabad
Telangana,Nizamabad,503309,Madnoor
Telangana,Nizamabad,503219,Armoor
Telangana,Nizamabad,503202,Yedpalle
Telangana,Nizamabad,503001,Nizamabad
Telangana,Nizamabad,503114,Kamareddy
Telangana,Nizamabad,503164,Armoor
Telangana,Nizamabad,503112,Machareddy
Telangana,Nizamabad,503002,Nizamabad
Telangana,Nizamabad,503201,Nizamabad
Telangana,Nizamabad,503202,Nizamabad
Telangana,Nizamabad,503111,Kamareddy
Telangana,Nizamabad,503111,Nizamabad
Telangana,Nizamabad,503124,Kamareddy
Telangana,Nizamabad,503201,Varni
Telangana,Nizamabad,503187,Lingampet
Telangana,Nizamabad,503188,Varni
Telangana,Nizamabad,503108,Lingampet
Telangana,Nizamabad,503322,Nizamabad
Telangana,Nizamabad,503003,Na
Telangana,Nizamabad,503187,Bichkunda
Telangana,Nizamabad,503223,Armur
Telangana,Karim Nagar,505215,Ramagundam
Telangana,Karim Nagar,505208,Na
Telangana,Karim Nagar,505184,Na
Telangana,Karim Nagar,505212,Na
Telangana,Karim Nagar,505472,Na
Telangana,Karim Nagar,505102,Na
Telangana,Karim Nagar,505474,Na
Telangana,Karim Nagar,505504,Na
Telangana,Karim Nagar,505480,Na
Telangana,Karim Nagar,505470,Na
Telangana,Karim Nagar,505503,Na
Telangana,Karim Nagar,505514,Ramagundam
Telangana,Karim Nagar,505174,Na
Telangana,Karim Nagar,505187,Peddapalli
Telangana,Karim Nagar,505101,Na
Telangana,Karim Nagar,505129,Na
Telangana,Karim Nagar,505497,Huzurabad
Telangana,Karim Nagar,505475,Na
Telangana,Karim Nagar,505472,Saidapur
Telangana,Karim Nagar,505416,Dharmaram
Telangana,Karim Nagar,505186,Na
Telangana,Karim Nagar,505498,Na
Telangana,Karim Nagar,505187,Na
Telangana,Karim Nagar,505514,Na
Telangana,Karim Nagar,505212,Kamanpur
Telangana,Karim Nagar,505505,Na
Telangana,Karim Nagar,505416,Na
Telangana,Karim Nagar,505174,Peddapalle
Telangana,Karim Nagar,505122,Na
Telangana,Karim Nagar,505476,Na
Telangana,Karim Nagar,505502,Veenavanka
Telangana,Karim Nagar,505471,Bheemadevarpalle
Telangana,Karim Nagar,505184,Manthani
Telangana,Karim Nagar,505525,Na
Telangana,Karim Nagar,505490,Na
Telangana,Karim Nagar,505188,Na
Telangana,Karim Nagar,505498,Huzurabad
Telangana,Karim Nagar,505210,Na
Telangana,Karim Nagar,505497,Na
Telangana,Karim Nagar,505153,Srirampur
Telangana,Karim Nagar,505186,Sultanabad
Telangana,Karim Nagar,505185,Na
Telangana,Karim Nagar,505502,Na
Telangana,Karim Nagar,505209,Ramagundam
Telangana,Karim Nagar,505152,Na
Telangana,Karim Nagar,505211,Ramagundam
Telangana,Karim Nagar,505468,Huzurabad
Telangana,Karim Nagar,505122,Jammikunta
Telangana,Karim Nagar,505209,Na
Telangana,Karim Nagar,505153,Huzurabad
Telangana,Karim Nagar,505102,Huzurabad
Telangana,Karim Nagar,505470,Shankarapatnam
Telangana,Karim Nagar,505471,Na
Telangana,Karim Nagar,505129,Huzurabad
Telangana,Karim Nagar,505503,Manthani
Telangana,Karim Nagar,505153,Na
Telangana,Karim Nagar,505490,Huzurabad
Telangana,Karim Nagar,505162,Na
Telangana,Karim Nagar,505416,Choppadandi
Telangana,Karim Nagar,505129,Jammikunta
Telangana,Karim Nagar,505504,Manthani
Telangana,Karim Nagar,505416,Peddapalli
Telangana,Karim Nagar,505471,Huzurabad
Telangana,Karim Nagar,505185,Sultanabad
Telangana,Karim Nagar,505208,Ramagundam
Telangana,Karim Nagar,505172,Peddapalli
Telangana,Karim Nagar,505172,Peddapalle
Telangana,Karim Nagar,505152,Huzurabad
Telangana,Karim Nagar,505174,Peddapalli
Telangana,Karim Nagar,505472,Huzurabad
Telangana,Karim Nagar,505474,Huzurabad
Telangana,Karim Nagar,505503,Kataram
Telangana,Karim Nagar,505502,Huzurabad
Telangana,Karim Nagar,505525,Julapalle
Telangana,Karim Nagar,505214,Peddapalli
Telangana,Karim Nagar,505476,Huzurabad
Telangana,Medak,502032,Ramachandrapuram
Telangana,Medak,502286,Narayankhed
Telangana,Medak,502325,R.C.Puram
Telangana,Medak,502314,Narsapur
Telangana,Medak,502270,Jogipet
Telangana,Medak,502318,Zaheerabad
Telangana,Medak,502269,Alladurg
Telangana,Medak,502273,Jogipet
Telangana,Medak,502345,Sadasivpet
Telangana,Medak,502306,Sangareddy
Telangana,Medak,502273,Andole
Telangana,Medak,502313,Narsapur
Telangana,Medak,502287,Narayankhed
Telangana,Medak,502291,Sadasivpet
Telangana,Medak,502371,Narayankhed
Telangana,Medak,502318,Zahirabad
Telangana,Medak,502293,Sangareddy
Telangana,Medak,502305,Patancheru
Telangana,Medak,502305,Sangareddy
Telangana,Medak,502210,Zaheerabad
Telangana,Medak,502269,Jogipet
Telangana,Medak,502296,Sangareddy
Telangana,Medak,502290,Narayankhed
Telangana,Medak,502228,Zaheerabad
